record_id,asset_id,asset_name,category,acquisition_cost,acquisition_date,depreciation_method,accumulated_depreciation,nbv,status,subsidiary_code,disposal_gain,addition_id,approval_id,transfer_type,change_type,last_physical_count_date
R0013,A0013,Asset 013,Vehicle,78975.4,2022-11-15,units_of_production,45030.62,33944.78,active,SUB-3,0,ADD-0013,APP-0013,internal,none,2025-07-26
R0014,A0014,Asset 014,Building,1486.8,2020-12-28,declining_balance,1385.83,100.97,active,SUB-2,0,ADD-0014,APP-0014,subsidiary,none,2025-06-27
R0015,A0015,Asset 015,IT,156254.0,2022-12-11,straight_line,12698.74,143555.26,active,SUB-4,0,ADD-0015,APP-0015,internal,none,2025-08-08
R0016,A0016,Asset 016,Building,2478314.5,2019-01-10,units_of_production,1556551.4,921763.1,active,SUB-4,0,ADD-0016,APP-0016,internal,none,2025-07-21
R0017,A0017,Asset 017,Building,2372948.9,2022-10-21,units_of_production,421361.34,1951587.56,active,SUB-3,0,ADD-0017,APP-0017,internal,none,2025-08-10
R0018,A0018,Asset 018,Furniture,3114166.3,2020-07-13,declining_balance,2468043.84,646122.46,active,SUB-4,0,ADD-0018,APP-0018,internal,none,2025-06-27
R0019,A0019,Asset 019,Building,2340.4,2019-03-10,straight_line,25.82,2314.58,active,SUB-4,0,ADD-0019,,subsidiary,none,2025-07-06
R0020,A0020,Asset 020,Building,988114.5,2020-01-26,declining_balance,142308.29,845806.21,active,SUB-1,0,ADD-0020,APP-0020,internal,none,2025-07-30
R0021,A0021,Asset 021,IT,4407.1,2021-08-12,declining_balance,37.88,4369.22,active,SUB-2,0,ADD-0021,APP-0021,internal,none,2025-07-29
R0022,A0022,Asset 022,Equipment,2212.6,2025-02-01,straight_line,1549.92,662.68,active,SUB-4,0,ADD-0022,APP-0022,internal,none,2025-06-15
R0023,A0023,Asset 023,Equipment,5178.3,2020-04-15,units_of_production,4241.08,-3912.41,active,SUB-2,0,ADD-0023,APP-0023,internal,none,2025-07-12
R0024,A0024,Asset 024,Equipment,600916.4,2019-05-08,straight_line,270120.24,330796.16,active,SUB-2,0,ADD-0024,APP-0024,internal,none,2025-07-29
R0025,A0025,Asset 025,Building,17747.7,2020-09-21,declining_balance,17518.84,228.86,active,SUB-1,0,ADD-0025,APP-0025,internal,none,2025-08-22
R0026,A0026,Asset 026,Equipment,448432.6,2022-03-15,declining_balance,391079.02,57353.58,active,SUB-3,0,ADD-0026,APP-0026,internal,none,2025-07-21
R0027,A0027,Asset 027,IT,2788.6,2022-03-21,declining_balance,2450.92,337.68,active,SUB-1,0,ADD-0027,APP-0027,internal,none,2025-08-01
R0028,A0028,Asset 028,Vehicle,1811.2,2019-12-25,declining_balance,799.66,1011.54,active,SUB-2,0,ADD-0028,APP-0028,internal,none,2025-06-29
R0029,A0029,Asset 029,Vehicle,2790566.1,2022-02-06,straight_line,2306683.53,483882.57,active,SUB-4,0,ADD-0029,APP-0029,subsidiary,none,2025-06-26
R0030,A0030,Asset 030,Building,1383894.2,2023-09-01,units_of_production,1134886.49,249007.71,active,SUB-2,0,ADD-0030,APP-0030,internal,none,2025-06-18
R0031,A0031,Asset 031,Furniture,1013951.4,2020-10-30,straight_line,24783.11,49650.79,active,SUB-2,0,ADD-0031,APP-0031,internal,none,2025-08-13
R0032,A0032,Asset 032,Furniture,528539.8,2019-05-03,declining_balance,236982.45,291557.35,active,SUB-2,0,ADD-0032,APP-0032,internal,none,2025-08-01
R0033,A0033,Asset 033,Furniture,54330.1,2025-04-26,units_of_production,28658.69,25671.41,active,SUB-1,0,ADD-0033,APP-0033,internal,none,2025-06-30
R0034,A0034,Asset 034,Building,1857.8,2021-02-25,straight_line,168.88,1688.92,active,SUB-2,0,ADD-0034,APP-0034,internal,none,2025-07-26
R0035,A0035,Asset 035,IT,1798.3,2021-10-16,straight_line,641.56,1156.74,active,SUB-2,0,ADD-0035,APP-0035,internal,none,2025-07-24
R0036,A0036,Asset 036,Building,21976.7,2019-08-19,units_of_production,7511.81,14464.89,active,SUB-2,0,ADD-0036,APP-0036,subsidiary,none,2025-08-19
R0037,A0037,Asset 037,Furniture,2093272.3,2022-09-26,straight_line,1659222.54,434049.76,disposed,SUB-2,27230.02,ADD-0037,APP-0037,internal,none,2025-07-08
R0038,A0038,Asset 038,Furniture,20609.9,2020-11-10,units_of_production,20447.91,161.99,active,SUB-2,0,ADD-0038,,internal,none,2025-08-31
R0039,A0039,Asset 039,Equipment,1327.8,2021-06-13,units_of_production,793.14,534.66,active,SUB-4,0,ADD-0039,APP-0039,subsidiary,none,2025-07-09
R0040,A0040,Asset 040,IT,136503.9,2023-07-30,declining_balance,98799.35,37704.55,active,SUB-2,0,ADD-0040,APP-0040,internal,none,2025-08-06
R0041,A0041,Asset 041,Vehicle,974011.9,2022-10-25,units_of_production,753892.36,220119.54,active,SUB-4,0,ADD-0041,APP-0041,internal,none,
R0042,A0042,Asset 042,Building,39308.1,2023-12-29,units_of_production,8156.8,31151.3,active,SUB-4,0,ADD-0042,APP-0042,subsidiary,none,2025-06-11
R0043,A0043,Asset 043,IT,2030.0,2020-12-24,straight_line,502.34,1527.66,active,SUB-4,0,ADD-0043,APP-0043,subsidiary,none,2025-07-01
R0044,A0044,Asset 044,Vehicle,14817.3,2021-09-24,declining_balance,13560.58,1256.72,active,SUB-2,0,ADD-0044,APP-0044,internal,none,2025-06-30
R0045,A0045,Asset 045,IT,1098.0,2024-04-12,straight_line,113.15,984.85,active,SUB-4,0,ADD-0045,APP-0045,internal,none,2025-07-30
R0046,A0046,Asset 046,Equipment,44933.3,2024-01-01,declining_balance,9378.95,-1357.22,active,SUB-4,0,ADD-0046,APP-0046,internal,none,2025-08-21
R0047,A0046,Asset 047,Furniture,1401737.1,2019-06-09,declining_balance,1248704.24,153032.86,active,SUB-4,0,ADD-0047,APP-0047,internal,none,2025-06-21
R0048,A0048,Asset 048,Building,1313.7,2022-03-14,units_of_production,893.49,420.21,active,SUB-1,0,ADD-0048,APP-0048,internal,none,2025-07-28
R0049,A0049,Asset 049,IT,10738.5,2023-01-06,units_of_production,3963.34,6775.16,active,SUB-1,0,ADD-0049,APP-0049,internal,none,2025-07-16
R0050,A0050,Asset 050,IT,20082.3,2021-04-13,straight_line,9414.1,10668.2,active,SUB-1,0,ADD-0050,APP-0050,internal,none,2025-07-19
R0051,A0051,Asset 051,IT,65319.3,2024-02-08,units_of_production,10210.48,55108.82,active,SUB-1,0,ADD-0051,APP-0051,internal,none,2025-07-13
R0052,A0052,Asset 052,IT,1927509.2,2023-10-14,units_of_production,1369187.22,558321.98,active,SUB-2,0,ADD-0052,APP-0052,subsidiary,none,2025-08-26
R0053,A0053,Asset 053,Equipment,236751.0,2024-03-15,straight_line,209220.07,27530.93,active,SUB-2,0,ADD-0053,APP-0053,subsidiary,depreciation_method,2025-08-04
R0054,A0054,Asset 054,Furniture,12059.3,2021-09-08,units_of_production,8155.45,3903.85,active,SUB-1,0,ADD-0054,APP-0054,subsidiary,none,2025-08-21
R0055,A0055,Asset 055,Equipment,22043.4,2021-09-26,units_of_production,14681.83,7361.57,active,SUB-3,0,ADD-0055,APP-0055,subsidiary,none,2025-08-25
R0056,A0056,Asset 056,IT,1114139.3,2022-01-24,units_of_production,108955.98,1005183.32,active,SUB-1,0,ADD-0056,APP-0056,internal,none,2025-08-23
R0057,A0057,Asset 057,Vehicle,234627.5,2018-12-24,units_of_production,167555.82,67071.68,active,SUB-2,0,ADD-0057,,internal,none,2025-07-10
R0058,A0058,Asset 058,IT,602803.9,2024-10-06,declining_balance,68317.84,534486.06,active,SUB-4,0,ADD-0058,APP-0058,subsidiary,none,2025-06-07
R0059,A0059,Asset 059,Building,8354.5,2020-11-08,units_of_production,2090.99,6263.51,active,SUB-2,0,ADD-0059,APP-0059,internal,none,2025-07-21
R0060,A0060,Asset 060,IT,810600.1,2021-11-12,straight_line,559831.07,250769.03,active,SUB-1,0,ADD-0060,APP-0060,internal,none,2025-06-26
R0061,A0061,Asset 061,Furniture,43396.7,2020-06-30,units_of_production,20042.5,23354.2,active,SUB-1,0,ADD-0061,APP-0061,internal,none,2025-08-17
R0062,A0062,Asset 062,Furniture,106041.83,2020-08-04,declining_balance,2029.23,5427.37,active,SUB-1,0,ADD-0062,APP-0062,internal,none,2025-08-29
R0063,A0063,Asset 063,Furniture,158891.2,2021-10-16,units_of_production,166522.03,-7630.83,active,SUB-2,0,ADD-0063,APP-0063,internal,none,2025-06-19
R0064,A0064,Asset 064,Vehicle,134773.9,2022-06-01,units_of_production,44863.64,89910.26,active,SUB-4,0,ADD-0064,APP-0064,subsidiary,none,2025-08-18
R0065,A0065,Asset 065,IT,2811.9,2019-09-15,straight_line,2651.81,160.09,active,SUB-4,0,ADD-0065,APP-0065,internal,none,2025-09-01
R0066,A0066,Asset 066,IT,4036.7,2024-04-12,declining_balance,1591.52,2445.18,active,SUB-2,0,ADD-0066,APP-0066,internal,none,2025-08-14
R0067,A0067,Asset 067,IT,312245.2,2021-09-23,straight_line,198857.18,113388.02,active,SUB-4,0,ADD-0067,APP-0067,internal,none,2025-07-09
R0068,A0068,Asset 068,IT,281423.3,2020-02-18,straight_line,77232.08,204191.22,active,SUB-2,0,ADD-0068,APP-0068,internal,none,2025-08-01
R0069,A0069,Asset 069,Building,55426.4,2022-07-04,declining_balance,18121.42,-1371.99,active,SUB-4,0,ADD-0069,APP-0069,internal,none,2025-06-28
R0070,A0070,Asset 070,Furniture,23331.6,2023-08-01,units_of_production,11098.71,12232.89,active,SUB-2,0,ADD-0070,APP-0070,internal,none,2025-08-19
R0071,A0071,Asset 071,Equipment,1297.3,2023-04-15,declining_balance,154.9,1142.4,active,SUB-3,0,ADD-0071,APP-0071,internal,none,2025-08-06
R0072,A0072,Asset 072,Building,59104.5,2025-04-15,declining_balance,10106.9,48997.6,active,SUB-1,0,ADD-0072,APP-0072,subsidiary,none,2025-07-11
R0073,A0073,Asset 073,IT,28337.8,2018-11-17,straight_line,15462.66,12875.14,active,SUB-1,0,ADD-0073,APP-0073,internal,none,2025-08-24
R0074,A0074,Asset 074,Building,153393.1,2021-02-07,units_of_production,45761.35,107631.75,disposed,SUB-1,7779.47,ADD-0074,APP-0074,internal,none,2025-08-09
R0075,A0075,Asset 075,Vehicle,671862.3,2021-07-30,declining_balance,589131.88,82730.42,active,SUB-4,0,ADD-0075,APP-0075,internal,none,2025-06-21
R0076,A0076,Asset 076,IT,40320.2,2022-12-22,straight_line,35048.43,5271.77,active,SUB-4,0,ADD-0076,,internal,none,2025-07-04
R0077,A0077,Asset 077,Building,80406.3,2021-09-10,straight_line,53392.94,27013.36,active,SUB-3,0,ADD-0077,APP-0077,internal,none,2025-09-01
R0078,A0078,Asset 078,Equipment,363378.9,2024-06-11,declining_balance,115896.53,247482.37,active,SUB-1,0,ADD-0078,APP-0078,internal,none,2025-08-21
R0079,A0079,Asset 079,IT,695501.0,2020-01-25,declining_balance,270263.74,425237.26,active,SUB-2,0,ADD-0079,APP-0079,subsidiary,none,2025-07-03
R0080,A0080,Asset 080,IT,2299275.1,2025-01-23,straight_line,1467623.61,831651.49,active,SUB-2,0,ADD-0080,APP-0080,internal,none,2025-07-11
R0081,A0081,Asset 081,Building,108558.5,2022-02-12,units_of_production,53878.74,54679.76,active,SUB-2,0,ADD-0081,APP-0081,internal,none,2025-07-06
R0082,A0082,Asset 082,Furniture,3108.0,2022-04-19,straight_line,1048.28,2059.72,active,SUB-4,0,ADD-0082,APP-0082,internal,none,
R0083,A0083,Asset 083,Equipment,1488796.2,2019-07-18,straight_line,606042.8,882753.4,active,SUB-4,0,ADD-0083,APP-0083,internal,none,2025-08-31
R0084,A0084,Asset 084,IT,5501.3,2022-03-18,straight_line,4299.85,1201.45,active,SUB-3,0,ADD-0084,APP-0084,internal,none,2025-06-28
R0085,A0085,Asset 085,Vehicle,18926.8,2025-01-12,straight_line,5998.5,12928.3,active,SUB-1,0,ADD-0085,APP-0085,subsidiary,none,2025-08-23
R0086,A0086,Asset 086,IT,428994.1,2021-07-03,units_of_production,370408.41,58585.69,active,SUB-2,0,ADD-0086,APP-0086,internal,none,2025-07-29
R0087,A0087,Asset 087,Building,1649118.4,2024-09-21,straight_line,494794.28,1154324.12,active,SUB-3,0,ADD-0087,APP-0087,internal,none,2025-08-31
R0088,A0088,Asset 088,Building,286000.4,2023-11-28,units_of_production,220231.73,65768.67,active,SUB-4,0,ADD-0088,APP-0088,internal,none,2025-07-23
R0089,A0089,Asset 089,Building,674479.5,2021-04-11,straight_line,435284.28,239195.22,active,SUB-2,0,ADD-0089,APP-0089,internal,none,2025-06-28
R0090,A0090,Asset 090,Vehicle,619498.8,2019-08-26,straight_line,167322.61,452176.19,active,SUB-3,0,ADD-0090,APP-0090,subsidiary,none,2025-08-20
R0091,A0091,Asset 091,Building,8352.3,2022-04-03,units_of_production,8447.91,-95.61,active,SUB-4,0,ADD-0091,APP-0091,internal,none,2025-06-15
R0092,A0092,Asset 092,Vehicle,3492.0,2020-04-09,units_of_production,201.85,-3480.3,active,SUB-3,0,ADD-0092,APP-0092,internal,none,2025-08-11
R0093,A0093,Asset 093,Furniture,28508.42,2019-07-20,declining_balance,447.37,1654.73,active,SUB-4,0,ADD-0093,APP-0093,internal,none,2025-08-24
R0094,A0093,Asset 094,IT,1802059.0,2018-11-12,units_of_production,1869581.11,-67522.11,active,SUB-2,0,ADD-0094,APP-0094,internal,none,2025-06-10
R0095,A0095,Asset 095,Building,440987.2,2025-05-05,units_of_production,227787.62,213199.58,active,SUB-4,0,ADD-0095,,subsidiary,none,2025-08-07
R0096,A0096,Asset 096,Equipment,139605.8,2025-02-10,declining_balance,117674.48,21931.32,active,SUB-3,0,ADD-0096,APP-0096,internal,none,2025-08-09
R0097,A0097,Asset 097,Building,244537.3,2023-03-02,declining_balance,202265.39,42271.91,active,SUB-1,0,ADD-0097,APP-0097,internal,none,2025-06-08
R0098,A0098,Asset 098,Vehicle,5659.0,2021-05-02,units_of_production,1533.29,4125.71,active,SUB-2,0,ADD-0098,APP-0098,internal,none,2025-08-22
R0099,A0099,Asset 099,Furniture,2018.8,2019-03-23,declining_balance,1026.02,992.78,active,SUB-4,0,ADD-0099,APP-0099,internal,none,2025-06-18
R0100,A0100,Asset 100,Vehicle,5094.9,2022-09-08,declining_balance,2745.84,2349.06,active,SUB-3,0,ADD-0100,APP-0100,subsidiary,none,2025-07-25
R0101,A0101,Asset 101,Building,3824.6,2021-08-04,straight_line,2423.68,1400.92,active,SUB-3,0,ADD-0101,APP-0101,internal,none,2025-08-08
R0102,A0102,Asset 102,Furniture,15598.3,2020-03-07,declining_balance,12775.25,2823.05,active,SUB-4,0,ADD-0102,APP-0102,subsidiary,none,2025-07-28
R0103,A0103,Asset 103,Equipment,157065.6,2022-06-03,units_of_production,26583.43,130482.17,active,SUB-4,0,ADD-0103,APP-0103,internal,none,2025-08-02
R0104,A0104,Asset 104,IT,3721.2,2024-10-31,straight_line,2152.32,1568.88,active,SUB-2,0,ADD-0104,APP-0104,internal,none,2025-06-06
R0105,A0105,Asset 105,Building,5663.4,2020-08-29,declining_balance,570.8,5092.6,active,SUB-1,0,ADD-0105,APP-0105,internal,none,2025-08-16
R0106,A0106,Asset 106,Furniture,2261457.7,2025-02-22,straight_line,342077.79,1919379.91,active,SUB-3,0,ADD-0106,APP-0106,subsidiary,depreciation_method,2025-06-19
R0107,A0107,Asset 107,Furniture,296917.5,2021-10-06,straight_line,28830.26,268087.24,active,SUB-4,0,ADD-0107,APP-0107,internal,none,2025-07-16
R0108,A0108,Asset 108,IT,6837.1,2020-07-22,straight_line,2313.42,4523.68,active,SUB-1,0,ADD-0108,APP-0108,internal,none,2025-07-10
R0109,A0109,Asset 109,Building,212158.6,2024-08-26,declining_balance,204273.18,7885.42,active,SUB-4,0,ADD-0109,APP-0109,internal,none,2025-06-19
R0110,A0110,Asset 110,Furniture,1432475.3,2022-04-09,straight_line,1462135.05,-29659.75,active,SUB-1,0,ADD-0110,APP-0110,subsidiary,none,2025-07-01
R0111,A0111,Asset 111,Furniture,60938.8,2022-11-14,straight_line,11141.56,49797.24,disposed,SUB-1,8578.62,ADD-0111,APP-0111,internal,none,2025-07-09
R0112,A0112,Asset 112,Equipment,44831.3,2021-09-18,straight_line,28542.93,16288.37,active,SUB-2,0,ADD-0112,APP-0112,internal,none,2025-08-30
R0113,A0113,Asset 113,Building,154339.4,2023-10-18,units_of_production,147245.16,7094.24,active,SUB-1,0,ADD-0113,APP-0113,internal,none,2025-06-11
R0114,A0114,Asset 114,Equipment,5223.2,2024-09-26,declining_balance,4552.25,670.95,active,SUB-2,0,ADD-0114,,internal,none,2025-08-14
R0115,A0115,Asset 115,Equipment,974838.8,2021-08-17,straight_line,433009.53,-425.93,active,SUB-3,0,ADD-0115,APP-0115,internal,none,2025-07-28
R0116,A0116,Asset 116,Building,1152125.6,2023-04-05,units_of_production,591349.56,560776.04,active,SUB-2,0,ADD-0116,APP-0116,internal,none,2025-07-06
R0117,A0117,Asset 117,IT,2982.6,2020-11-05,straight_line,1332.5,1650.1,active,SUB-1,0,ADD-0117,APP-0117,subsidiary,none,2025-08-11
R0118,A0118,Asset 118,Furniture,321898.3,2022-02-14,straight_line,207716.75,114181.55,active,SUB-1,0,ADD-0118,APP-0118,internal,none,2025-06-04
R0119,A0119,Asset 119,IT,3572.2,2023-08-13,straight_line,1935.93,1636.27,active,SUB-2,0,ADD-0119,APP-0119,internal,none,2025-07-16
R0120,A0120,Asset 120,IT,17017.6,2022-06-19,straight_line,1002.48,16015.12,active,SUB-3,0,ADD-0120,APP-0120,subsidiary,none,2025-07-25
R0121,A0121,Asset 121,Vehicle,80961.9,2019-09-11,straight_line,44286.55,36675.35,active,SUB-1,0,ADD-0121,APP-0121,internal,none,2025-07-18
R0122,A0122,Asset 122,Vehicle,193089.5,2024-09-29,straight_line,85687.55,107401.95,active,SUB-4,0,ADD-0122,APP-0122,internal,none,2025-07-02
R0123,A0123,Asset 123,Building,8390.2,2019-04-13,declining_balance,727.31,7662.89,active,SUB-2,0,ADD-0123,APP-0123,internal,none,
R0124,A0124,Asset 124,Vehicle,18998.79,2024-05-10,units_of_production,1542.49,76.71,active,SUB-4,0,ADD-0124,APP-0124,internal,none,2025-07-23
R0125,A0125,Asset 125,IT,1131.7,2019-04-26,units_of_production,418.8,712.9,active,SUB-1,0,ADD-0125,APP-0125,internal,none,2025-07-09
R0126,A0126,Asset 126,Equipment,22147.8,2023-08-14,declining_balance,18830.54,3317.26,active,SUB-2,0,ADD-0126,APP-0126,internal,none,2025-07-15
R0127,A0127,Asset 127,Furniture,58918.1,2024-06-15,straight_line,7853.77,51064.33,active,SUB-3,0,ADD-0127,APP-0127,internal,none,2025-06-09
R0128,A0128,Asset 128,IT,3383.4,2023-02-21,units_of_production,1861.8,1521.6,active,SUB-2,0,ADD-0128,APP-0128,subsidiary,none,2025-06-15
R0129,A0129,Asset 129,IT,478327.1,2025-05-21,declining_balance,49206.54,429120.56,active,SUB-4,0,ADD-0129,APP-0129,internal,none,2025-07-12
R0130,A0130,Asset 130,IT,1659650.1,2022-01-17,declining_balance,255006.45,1404643.65,active,SUB-3,0,ADD-0130,APP-0130,internal,none,2025-07-25
R0131,A0131,Asset 131,Building,7410.5,2019-01-01,straight_line,5016.28,2394.22,active,SUB-1,0,ADD-0131,APP-0131,subsidiary,none,2025-07-08
R0132,A0132,Asset 132,Vehicle,1517508.5,2022-04-29,declining_balance,433046.73,1084461.77,active,SUB-2,0,ADD-0132,APP-0132,subsidiary,none,2025-08-06
R0133,A0133,Asset 133,Building,77286.4,2018-12-05,declining_balance,17808.25,59478.15,active,SUB-2,0,ADD-0133,,internal,none,2025-08-07
R0134,A0134,Asset 134,Vehicle,3665.1,2024-09-28,declining_balance,1769.69,1895.41,active,SUB-3,0,ADD-0134,APP-0134,internal,none,2025-07-24
R0135,A0135,Asset 135,Building,180099.9,2021-09-18,straight_line,53389.47,126710.43,active,SUB-4,0,ADD-0135,APP-0135,internal,none,2025-08-11
R0136,A0136,Asset 136,Furniture,103008.8,2023-09-27,straight_line,48600.03,54408.77,active,SUB-3,0,ADD-0136,APP-0136,subsidiary,none,2025-07-08
R0137,A0137,Asset 137,Furniture,1788498.5,2021-03-09,declining_balance,371274.95,1417223.55,active,SUB-1,0,ADD-0137,APP-0137,subsidiary,none,2025-08-16
R0138,A0138,Asset 138,Vehicle,10012.5,2024-06-12,units_of_production,6786.24,-4543.84,active,SUB-3,0,ADD-0138,APP-0138,subsidiary,none,2025-07-26
R0139,A0139,Asset 139,Vehicle,852551.1,2019-09-04,declining_balance,695914.15,156636.95,active,SUB-4,0,ADD-0139,APP-0139,internal,none,2025-06-13
R0140,A0140,Asset 140,Equipment,10429.0,2023-11-17,declining_balance,3460.15,6968.85,active,SUB-1,0,ADD-0140,APP-0140,internal,none,2025-07-06
R0141,A0140,Asset 141,IT,19203.9,2019-12-22,straight_line,11843.7,7360.2,active,SUB-1,0,ADD-0141,APP-0141,internal,none,2025-08-26
R0142,A0142,Asset 142,Furniture,1792325.2,2020-10-12,declining_balance,150236.67,1642088.53,active,SUB-1,0,ADD-0142,APP-0142,subsidiary,none,2025-07-30
R0143,A0143,Asset 143,Building,43269.6,2019-03-19,declining_balance,44182.39,-912.79,active,SUB-3,0,ADD-0143,APP-0143,subsidiary,none,2025-08-20
R0144,A0144,Asset 144,IT,211710.8,2022-06-03,declining_balance,68070.89,143639.91,active,SUB-1,0,ADD-0144,APP-0144,internal,none,2025-06-13
R0145,A0145,Asset 145,Building,10101.7,2025-04-12,straight_line,10056.44,45.26,active,SUB-4,0,ADD-0145,APP-0145,subsidiary,none,2025-06-25
R0146,A0146,Asset 146,Vehicle,1128.5,2019-08-01,straight_line,521.07,607.43,active,SUB-2,0,ADD-0146,APP-0146,internal,none,2025-06-22
R0147,A0147,Asset 147,Furniture,8114.3,2019-08-20,straight_line,5042.87,3071.43,active,SUB-4,0,ADD-0147,APP-0147,subsidiary,none,2025-07-23
R0148,A0148,Asset 148,Equipment,14018.2,2019-05-02,straight_line,2415.67,11602.53,disposed,SUB-4,24421.07,ADD-0148,APP-0148,internal,none,2025-07-29
R0149,A0149,Asset 149,Vehicle,37054.9,2020-12-14,declining_balance,36759.7,295.2,active,SUB-3,0,ADD-0149,APP-0149,internal,none,2025-07-09
R0150,A0150,Asset 150,Furniture,1923.5,2019-05-29,straight_line,424.06,1499.44,active,SUB-2,0,ADD-0150,APP-0150,internal,none,2025-06-17
R0151,A0151,Asset 151,Furniture,72264.6,2024-04-24,units_of_production,44797.43,27467.17,active,SUB-2,0,ADD-0151,APP-0151,subsidiary,none,2025-08-26
R0152,A0152,Asset 152,Equipment,52272.2,2019-08-07,units_of_production,53424.44,-1152.24,active,SUB-1,0,ADD-0152,,subsidiary,none,2025-09-01
R0153,A0153,Asset 153,IT,19703.0,2023-08-11,straight_line,18832.22,870.78,active,SUB-2,0,ADD-0153,APP-0153,internal,none,2025-08-30
R0154,A0154,Asset 154,Equipment,28169.2,2020-01-22,units_of_production,12540.59,15628.61,active,SUB-4,0,ADD-0154,APP-0154,subsidiary,none,2025-08-24
R0155,A0155,Asset 155,Vehicle,88875.74,2019-06-30,declining_balance,7722.69,3365.71,active,SUB-3,0,ADD-0155,APP-0155,subsidiary,none,2025-06-19
R0156,A0156,Asset 156,Furniture,2308476.5,2024-10-07,straight_line,1823601.67,484874.83,active,SUB-4,0,ADD-0156,APP-0156,internal,none,2025-07-27
R0157,A0157,Asset 157,Vehicle,6422.5,2025-01-25,straight_line,758.49,5664.01,active,SUB-1,0,ADD-0157,APP-0157,subsidiary,none,2025-07-11
R0158,A0158,Asset 158,Furniture,1133.4,2020-08-21,straight_line,1029.01,104.39,active,SUB-3,0,ADD-0158,APP-0158,internal,none,2025-08-27
R0159,A0159,Asset 159,Equipment,2017.9,2024-03-14,straight_line,1223.66,794.24,active,SUB-1,0,ADD-0159,APP-0159,subsidiary,depreciation_method,2025-08-10
